ID,NOM_CURT_ACTE,NOM_ACTE,ID_EQUIPAMENT,SIGLA,CARRER,NRO,BIS,CODI_POSTAL,CIUTAT,X,Y,TELEFON,EMAIL,DATA_HORA_INICI_ACTE,DATA_HORA_FINAL_ACTE,TIPUS_ACTE,ESTAT,PREU
286,Vintagefest,"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ",7633,AV   ,RIUS I TAULET,120,,8173,Sant Cugat del Vallès,,,936 744 950,,06/04/2014 9:00:00,,Fires i mercats,1,
288,Vintagefest,"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ",7633,AV   ,RIUS I TAULET,120,,8173,Sant Cugat del Vallès,,,936 744 950,,01/06/2014 9:00:00,,Fires i mercats,1,
289,Vintagefest,"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ",7633,AV   ,RIUS I TAULET,120,,8173,Sant Cugat del Vallès,,,936 744 950,,06/07/2014 9:00:00,,Fires i mercats,1,
704,Conferència.  Fora de l euro? Impossible ,"<p>A c&agrave,rrec de Miquel Puig, exprofessor titular de Teoria Econ&ograve,mica de la UB. Dins el cicle &quot,Vers un pa&iacute,s normal&quot,.</p> ",2875,AV   ,PLA DEL VINYET,81,,8172,Sant Cugat del Vallès,,,935 441 965,secretaria-torreblanca@santcugat.cat,10/04/2014 19:30:00,,Conferències i jornades,1,
905,Teatre.  Los hijos de Kennedy ,"<p>De Robert Patrick. Espectacle en castell&agrave,. Direcci&oacute,: Josep Maria Pou. Int&egrave,rprets: Fernando Cayo, Alex Garc&iacute,a, Ariadna Gil, Emma Su&aacute,rez, Maribel Verd&uacute,. L&#39,obra posa sobre l&#39,escenari cinc arquetips de la s",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,25/04/2014 21:00:00,,Teatre i dansa,1,26
906,Teatre.  Iaia!!! ,"<p>De Roger Pe&ntilde,a.&nbsp,Autor i director: Roger Pe&ntilde,a. Int&egrave,rprets: Montserrat Carulla, Vicky Luengo, Aleix Pe&ntilde,a Miralles. Per si sola ja tindria ganxo, la hist&ograve,ria d&#39,una iaia perepunyetes que boicoteja la vida sentimen",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,31/05/2014 18:00:00,,Teatre i dansa,1,26
908,Màgia. Els Amics del Mag Lari 3,"<p>A la Sala Escenari. Espectacle + sopar: Intermedi amb un refrigeri al vest&iacute,bul. M&agrave,gia de prop. Per compartir uns moments de proximitat i molt m&agrave,gics a l&#39,escenari del Teatre-Auditori en companyia del Mag Lari (m&eacute,s a prop ",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,04/04/2014 21:00:00,,Teatre i dansa,1,30
909,Màgia. Els Amics del Mag Lari 3,"<p>M&agrave,gia de gran format. Per gaudir d&rsquo,un espectacle de gran format en qu&egrave, el Mag Lari, en companyia dels seus amics convidats, ens far&agrave, passar una vetllada molt m&agrave,gica i molt divertida.</p>  <p><strong>Amics convidats: ",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,05/04/2014 21:00:00,,Teatre i dansa,1,26
913,Concert.  Intimate ,"<p><strong>Classical &amp, Jazz.</strong> Amb Patr&iacute,cia de No, flauta, i Cristina Casale, piano. Com a aperitiu del concert, les artistes comentaran i interpretaran una pe&ccedil,a composta per alumnes de l&rsquo,Escola Municipal de M&uacute,sica Vi",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,12/04/2014 21:00:00,,Música,1,26
914,Concert de Sant Jordi,"<p>A c&agrave,rrec de l&#39,Orquestra Simf&ograve,nica Sant Cugat. Director: Josep Ferr&eacute,. Concertino: Geert Krosenbrink. Flauta solista: Elisabet Franch. Enguany, l&#39,Orquestra Simf&ograve,nica Sant Cugat ens proposa iniciar el tradicional concer",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,23/04/2014 21:00:00,,Música,1,26
915,Concert.  Carmina Burana ,"<p>A c&agrave,rrec del Cor del Gran Teatre del Liceu. Servei de ludoteca. Director: Jos&eacute, Lu&iacute,s Basso. Carmina Burana &eacute,s el t&iacute,tol de la m&eacute,s c&egrave,lebre composici&oacute, de l&#39,alemany Carl Orff. Una cantata esc&egrav",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,25/05/2014 19:00:00,,Música,1,28
922,"Òpera.  La Bohème , de Giacomo Puccini","<p>Amb el Cor Amics de l&rsquo,&Ograve,pera de Sabadell i l&#39,Orquestra Simf&ograve,nica del Vall&egrave,s. &Ograve,pera en quatre actes. Sobretitulada en catal&agrave,. Director d&#39,orquestra: Rub&eacute,n Gimeno. Director del cor: Daniel Gil de Teja",1439,PL   ,VICTORIA DELS ANGELS,1,,8172,Sant Cugat del Vallès,,,935 907 690 ,,16/05/2014 21:00:00,,Música,1,50
