MES	ANY	REGIO	CAMIONS	FURGONS	COTXES
1	2000	CEE	5388	11601	24513
1	2000	AME	10565	14227	29827
1	2000	MON	13856	19153	24374
2	2000	CEE	6115	10073	25467
2	2000	AME	10142	15103	35652
2	2000	MON	13548	18754	21165
3	2000	CEE	6625	12780	24985
3	2000	AME	10129	14460	28537
3	2000	MON	12363	17929	21281
4	2000	CEE	7092	10652	26927
4	2000	AME	9798	15011	29802
4	2000	MON	16526	18542	23692
5	2000	CEE	5886	9067	23822
5	2000	AME	10931	13394	29778
5	2000	MON	12833	20293	25619
6	2000	CEE	7125	10417	24185
6	2000	AME	10460	14676	34768
6	2000	MON	14996	19135	22462
7	2000	CEE	6449	11808	25196
7	2000	AME	10177	14575	33599
7	2000	MON	14417	20033	22222
8	2000	CEE	6874	9448	23611
8	2000	AME	10091	13435	33407
8	2000	MON	14627	18643	23578
9	2000	CEE	6342	11757	25765
9	2000	AME	10553	13841	34594
9	2000	MON	12947	19976	23029
10	2000	CEE	6236	11947	23979
10	2000	AME	9878	13557	34789
10	2000	MON	13871	18924	22920
11	2000	CEE	7039	12845	26748
11	2000	AME	10681	15281	31172
11	2000	MON	15970	16442	21010
12	2000	CEE	5809	11587	24252
12	2000	AME	10463	13562	31940
12	2000	MON	17640	16892	25526
1	2001	CEE	6544	11075	25183
1	2001	AME	10721	14525	28459
1	2001	MON	17792	17163	25333
2	2001	CEE	6216	10074	27008
2	2001	AME	10491	14498	29020
2	2001	MON	12428	19938	22617
3	2001	CEE	5556	11923	24880
3	2001	AME	10857	13332	29568
3	2001	MON	16801	18536	24820
4	2001	CEE	7209	8581	25450
4	2001	AME	10368	14614	35042
4	2001	MON	14211	18307	25797
5	2001	CEE	6168	8572	24413
5	2001	AME	10725	14027	33088
5	2001	MON	13692	16625	20277
6	2001	CEE	6295	11717	25813
6	2001	AME	10984	13598	35414
6	2001	MON	18118	19970	21908
7	2001	CEE	6698	11777	23997
7	2001	AME	10663	13632	30614
7	2001	MON	15930	17889	20514
8	2001	CEE	6842	9707	25326
8	2001	AME	10494	13826	31886
8	2001	MON	11835	18782	22341
9	2001	CEE	5154	9960	24164
9	2001	AME	10575	15076	28510
9	2001	MON	15382	17781	21489
10	2001	CEE	5300	9035	25092
10	2001	AME	9953	13895	34483
10	2001	MON	12091	19779	23181
11	2001	CEE	6266	10869	24265
11	2001	AME	10813	15266	30840
11	2001	MON	16901	17171	23359
12	2001	CEE	6154	12035	23563
12	2001	AME	10197	13848	30806
12	2001	MON	14190	20289	24030
1	2002	CEE	7039	11233	23564
1	2002	AME	10216	15345	34952
1	2002	MON	12511	20407	20152
2	2002	CEE	5419	12625	26325
2	2002	AME	10845	13372	34576
2	2002	MON	17788	15860	22585
3	2002	CEE	6452	10844	25052
3	2002	AME	9916	15134	32431
3	2002	MON	13604	19964	20072
4	2002	CEE	5430	12784	23989
4	2002	AME	10031	14108	33587
4	2002	MON	15765	19610	21428
5	2002	CEE	6734	11655	23764
5	2002	AME	10661	14685	33196
5	2002	MON	14331	19930	21962
6	2002	CEE	6296	8961	26131
6	2002	AME	10956	13730	35461
6	2002	MON	16631	21208	25642
7	2002	CEE	5650	12774	25562
7	2002	AME	9826	13442	33707
7	2002	MON	14553	19364	26433
8	2002	CEE	6362	9669	25508
8	2002	AME	10037	14544	30639
8	2002	MON	16818	20683	25117
9	2002	CEE	6971	11904	26501
9	2002	AME	10627	13533	32663
9	2002	MON	14007	21467	21341
10	2002	CEE	6130	11066	23330
10	2002	AME	10047	15104	33204
10	2002	MON	14723	17269	23612
11	2002	CEE	6309	9515	24152
